test_name,data_shape,missing_pattern,missing_rate,noise_type,noise_level,execution_time,cells_per_sec,success,error,noisy_mse,noisy_mae,noisy_rmse,noisy_mape,noisy_correlation,noisy_residual_std,noisy_residual_mean,noisy_coverage_95,noisy_evaluable_points,use_fourier
"Correlated Long Gaps [SavGol(11,3)]","(200, 10)",mcar,0.08,gaussian,0.1,0.002686023712158203,744595.0647967336,True,,,,,,0.0,,,,0,
Correlated Long Gaps [Fourier(K=6)],"(200, 10)",mcar,0.08,gaussian,0.1,0.0006139278411865234,3257711.844660194,True,,,,,,0.0,,,,0,
Correlated Long Gaps [KNN(k=5)],"(200, 10)",mcar,0.08,gaussian,0.1,0.0019288063049316406,1036910.7540173053,True,,,,,,0.0,,,,0,
Correlated Long Gaps [IterSVD(rank=5)],"(200, 10)",mcar,0.08,gaussian,0.1,0.0004978179931640625,4017532.5670498083,True,,,,,,0.0,,,,0,
Correlated Long Gaps [CenteredMA(w=9)],"(200, 10)",mcar,0.08,gaussian,0.1,0.0006899833679199219,2898620.594333103,True,,,,,,0.0,,,,0,
Low Correlation Control [MISSNET (autotune)],"(200, 10)",mcar,0.21,gaussian,0.1,1.9006249904632568,1052.2854377035849,True,,0.08038092108440624,0.22732535596283118,0.2835152925053713,44.053415103843896,0.99324374981368,0.2833939247988836,0.00829484608000223,0.9523809523809523,420,
Low Correlation Control [Mean],"(200, 10)",mcar,0.21,gaussian,0.1,3.981590270996094e-05,50231185.628742516,True,,3.2645656090417647,1.3518650654758073,1.806810894654381,406.33758522605234,0.6748407241930106,1.7976708013807892,0.18150839899221424,0.9214285714285714,420,
Low Correlation Control [FFillBFill],"(200, 10)",mcar,0.21,gaussian,0.1,0.00020599365234375,9709037.037037037,True,,0.2169016216424645,0.3735592436772308,0.46572698187077854,83.57358919765711,0.9818869541357853,0.4611670130553284,0.06501236583982299,0.9404761904761905,420,
Low Correlation Control [LinearInterp],"(200, 10)",mcar,0.21,gaussian,0.1,0.0005509853363037109,3629860.666378191,True,,0.09817881866272575,0.2465503605448274,0.31333499431555,58.300455782139615,0.9918072712324993,0.3126352347465115,0.02092913418465731,0.9380952380952381,420,
Low Correlation Control [Spline(k=3)],"(200, 10)",mcar,0.21,gaussian,0.1,0.03151822090148926,63455.35829103535,True,,0.13721065441315783,0.2927830733594979,0.3704195653757477,60.98772548406468,0.9883562542077531,0.370229810283272,0.011855040732542383,0.9428571428571428,420,
"Low Correlation Control [SavGol(11,3)]","(200, 10)",mcar,0.21,gaussian,0.1,0.0004622936248779297,4326254.770500258,True,,0.11644560831712007,0.2713466846147584,0.3412412758110016,68.67403537284208,0.9903537988266833,0.3394778947448249,0.034646317217586084,0.9428571428571428,420,
Low Correlation Control [Fourier(K=6)],"(200, 10)",mcar,0.21,gaussian,0.1,0.0008480548858642578,2358337.9252178804,True,,0.5269852708808678,0.530683983157137,0.7259375116915145,87.20000397133306,0.9549995358784736,0.7226350615517003,0.06916529980443947,0.9642857142857143,420,
Low Correlation Control [KNN(k=5)],"(200, 10)",mcar,0.21,gaussian,0.1,0.0027191638946533203,735520.2104340201,True,,0.25107211543980595,0.355118083040126,0.50107096846635,63.98166947553124,0.9792756742558054,0.49928763904459933,0.0422370564442624,0.9523809523809523,420,
