vintage,tgt_month,horizon,truth,cafe,emdfm,persistence,ar1
2021-03-01,2021-02-01,1,-3.4032597780628393,0.33820599350017505,0.36237335608525795,0.924356481153854,0.5886457628438486
2021-03-01,2021-03-01,2,2.7732274005926705,0.33820599350017505,0.36237335608525795,0.924356481153854,0.5886457628438486
2021-05-01,2021-04-01,1,0.1412546043384033,-0.18071629280979548,0.7638644469562562,1.4301029549828925,0.8362674787155283
2021-05-01,2021-05-01,2,0.865747535738226,-0.18071629280979548,0.7638644469562562,1.4301029549828925,0.8362674787155283
2021-07-01,2021-06-01,1,0.46430540826536415,0.6675231813856219,0.513992479405331,0.8435558807041055,0.5406814268871809
2021-07-01,2021-07-01,2,0.4190976171097205,0.6675231813856219,0.513992479405331,0.8435558807041055,0.5406814268871809
2021-09-01,2021-08-01,1,-0.02558618360053444,0.5084089069221427,0.616369087539334,0.9239026333857758,0.5796957243605628
2021-09-01,2021-09-01,2,-1.0507706583349652,0.5084089069221427,0.616369087539334,0.9239026333857758,0.5796957243605628
2021-11-01,2021-10-01,1,1.363153332317335,-0.8334430714411067,0.07404683600955009,-1.2957368133111657,-0.5005276509338769
2021-11-01,2021-11-01,2,0.9068489991886253,-0.8334430714411067,0.07404683600955009,-1.2957368133111657,-0.5005276509338769
2022-01-01,2021-12-01,1,-0.07270457371220118,0.2066398654226011,0.40105179365186117,0.5138063372179147,0.38015050481193446
2022-01-01,2022-01-01,2,0.019564308834674193,0.2066398654226011,0.40105179365186117,0.5138063372179147,0.38015050481193446
2022-03-01,2022-02-01,1,0.6216889486809762,1.226186916551299,0.5309599012641997,1.4057287966362964,0.8135665552447393
2022-03-01,2022-03-01,2,0.8091223935253744,1.226186916551299,0.5309599012641997,1.4057287966362964,0.8135665552447393
2022-05-01,2022-04-01,1,0.22298375387794778,0.48977150344800735,0.4652017097593338,0.913658013558738,0.5748378012093124
2022-05-01,2022-05-01,2,0.06168992702013654,0.48977150344800735,0.4652017097593338,0.913658013558738,0.5748378012093124
2022-07-01,2022-06-01,1,-0.13946373361273245,0.24299444922779193,0.2068908319088344,0.09834441689449136,0.178781553092703
2022-07-01,2022-07-01,2,0.2215931221035028,0.24299444922779193,0.2068908319088344,0.09834441689449136,0.178781553092703
2022-09-01,2022-08-01,1,0.11618615918154163,0.3935100669217517,0.3752790821720069,0.5593459364640729,0.40299677562952785
2022-09-01,2022-09-01,2,0.3505518026258869,0.3935100669217517,0.3752790821720069,0.5593459364640729,0.40299677562952785
2022-11-01,2022-10-01,1,-0.08542020687842822,0.18094320672202657,0.3117503099095208,0.3776988132845105,0.3144270657134016
2022-11-01,2022-11-01,2,-0.32766913848956136,0.18094320672202657,0.3117503099095208,0.3776988132845105,0.3144270657134016
2023-01-01,2022-12-01,1,-1.2484278858162945,0.24625993651735326,0.12123204601444143,-0.21972159926662016,0.022956179724238426
2023-01-01,2023-01-01,2,0.9004128794802391,0.24625993651735326,0.12123204601444143,-0.21972159926662016,0.022956179724238426
2023-03-01,2023-02-01,1,0.05127758654284165,-0.23587081626033546,0.38056502471083786,0.026131968531917238,0.14186555317042313
2023-03-01,2023-03-01,2,0.013617710047419962,-0.23587081626033546,0.38056502471083786,0.026131968531917238,0.14186555317042313
2023-05-01,2023-04-01,1,0.39779045108101485,0.4992107169279697,0.26398136891876534,0.37614648307053855,0.31213089247429093
2023-05-01,2023-05-01,2,-0.23588187751437673,0.4992107169279697,0.26398136891876534,0.37614648307053855,0.31213089247429093
2023-07-01,2023-06-01,1,-0.5843362370637983,-0.14170832113177356,0.12475570120280922,-0.15917708534196606,0.05185209712955617
2023-07-01,2023-07-01,2,0.6729541767841241,-0.14170832113177356,0.12475570120280922,-0.15917708534196606,0.05185209712955617
2023-09-01,2023-08-01,1,0.02221496822647495,0.28409069436451706,0.3806296562091199,0.9895665339890058,0.6094797623916718
2023-09-01,2023-09-01,2,0.2063922222243164,0.2797794910299774,0.1644461372504311,0.9895665339890058,0.6094797623916718
2023-11-01,2023-10-01,1,-0.7091325782080382,0.15307974954271703,0.2779458001223244,0.284639572447265,0.2672674390762143
2023-11-01,2023-11-01,2,0.30048950675380937,0.15307974954271703,0.2779458001223244,0.284639572447265,0.2672674390762143
2024-01-01,2023-12-01,1,-0.2490297743198866,0.010928599192897376,0.3290530649250992,0.24009685618713306,0.2450591021982232
2024-01-01,2024-01-01,2,-1.1247760215370661,0.010928599192897376,0.3290530649250992,0.24009685618713306,0.2450591021982232
2024-03-01,2024-02-01,1,1.218076690175085,0.5587022524226282,0.1381364227740978,-0.09510567092538835,0.08208865273805593
2024-03-01,2024-03-01,2,-0.20278181406325757,0.5587022524226282,0.1381364227740978,-0.09510567092538835,0.08208865273805593
2024-05-01,2024-04-01,1,-0.15794969394891112,0.2880482768481449,0.30335350981979003,0.38825410770684243,0.31655891546163517
2024-05-01,2024-05-01,2,0.6067132835611666,0.2880482768481449,0.30335350981979003,0.38825410770684243,0.31655891546163517
2024-07-01,2024-06-01,1,0.2654279654326075,0.5241636622858126,0.2799438805836673,0.6692450705861219,0.453304340911777
2024-07-01,2024-07-01,2,-0.7136062971070167,0.5241636622858126,0.2799438805836673,0.6692450705861219,0.453304340911777
2024-09-01,2024-08-01,1,0.4869163278704569,-0.5003486318662234,0.04656181826620873,-0.6400972067393873,-0.18344763817375387
2024-09-01,2024-09-01,2,-0.41261639650969073,-0.5003486318662234,0.04656181826620873,-0.6400972067393873,-0.18344763817375387
2024-11-01,2024-10-01,1,-0.37263994154201896,-0.9131291911333368,0.18455143522300235,-0.2832062452878148,-0.010241837700274148
2024-11-01,2024-11-01,2,-0.24674839151499484,0.26268312602720834,0.08948872159874185,-0.2832062452878148,-0.010241837700274148
2025-01-01,2024-12-01,1,1.1271840177458081,-0.1098116440195423,0.1584944633280791,-0.14720124339104856,0.05539204644522319
2025-01-01,2025-01-01,2,0.21708866679484018,-0.1098116440195423,0.1584944633280791,-0.14720124339104856,0.05539204644522319
2025-03-01,2025-02-01,1,0.846402755826503,0.6359292961638354,0.3401630202361513,0.5111048089465164,0.375643247669014
2025-03-01,2025-03-01,2,-0.3181021896300429,0.6359292961638354,0.3401630202361513,0.5111048089465164,0.375643247669014
